country,year,operation,hazard_type,waste,tonnes,operation_label
AL,2014,DSP_I,HAZ_NHAZ,TOTAL,38095.0,Incineration
AL,2022,DSP_I,HAZ_NHAZ,TOTAL,122629.0,Incineration
AT,2004,DSP_I,HAZ_NHAZ,TOTAL,1858338.0,Incineration
AT,2006,DSP_I,HAZ_NHAZ,TOTAL,1398793.0,Incineration
AT,2008,DSP_I,HAZ_NHAZ,TOTAL,1593693.0,Incineration
AT,2010,DSP_I,HAZ_NHAZ,TOTAL,1649144.0,Incineration
AT,2012,DSP_I,HAZ_NHAZ,TOTAL,74532.0,Incineration
BA,2022,DSP_I,HAZ_NHAZ,TOTAL,2163.0,Incineration
BE,2004,DSP_I,HAZ_NHAZ,TOTAL,2565146.0,Incineration
BE,2006,DSP_I,HAZ_NHAZ,TOTAL,2373226.0,Incineration
BE,2008,DSP_I,HAZ_NHAZ,TOTAL,3882910.0,Incineration
BE,2010,DSP_I,HAZ_NHAZ,TOTAL,1974848.0,Incineration
BE,2012,DSP_I,HAZ_NHAZ,TOTAL,2723004.0,Incineration
BE,2014,DSP_I,HAZ_NHAZ,TOTAL,1690673.0,Incineration
BE,2016,DSP_I,HAZ_NHAZ,TOTAL,1797742.0,Incineration
BE,2018,DSP_I,HAZ_NHAZ,TOTAL,1753627.0,Incineration
BE,2020,DSP_I,HAZ_NHAZ,TOTAL,592235.0,Incineration
BE,2022,DSP_I,HAZ_NHAZ,TOTAL,341802.0,Incineration
BG,2004,DSP_I,HAZ_NHAZ,TOTAL,144660.0,Incineration
BG,2006,DSP_I,HAZ_NHAZ,TOTAL,201019.0,Incineration
BG,2008,DSP_I,HAZ_NHAZ,TOTAL,60942.0,Incineration
BG,2010,DSP_I,HAZ_NHAZ,TOTAL,2200.0,Incineration
BG,2012,DSP_I,HAZ_NHAZ,TOTAL,14481.0,Incineration
BG,2014,DSP_I,HAZ_NHAZ,TOTAL,18893.0,Incineration
BG,2016,DSP_I,HAZ_NHAZ,TOTAL,11917.0,Incineration
BG,2018,DSP_I,HAZ_NHAZ,TOTAL,6266.0,Incineration
BG,2020,DSP_I,HAZ_NHAZ,TOTAL,100253.0,Incineration
BG,2022,DSP_I,HAZ_NHAZ,TOTAL,3042.0,Incineration
CY,2004,DSP_I,HAZ_NHAZ,TOTAL,8427.0,Incineration
CY,2006,DSP_I,HAZ_NHAZ,TOTAL,14192.0,Incineration
CY,2008,DSP_I,HAZ_NHAZ,TOTAL,14116.0,Incineration
CY,2010,DSP_I,HAZ_NHAZ,TOTAL,6856.0,Incineration
